Find Bookstore.; F ( Bookstore )
Go to Bookstore.; F ( Bookstore )
Find Science Library.; F ( Science Library )
Go to Science Library.; F ( Science Library )
Go to Starbucks.; F ( Starbucks )
Find Starbucks.; F ( Starbucks )
Go to Chipotle.; F ( Chipotle )
Find where is Chipotle.; F ( Chipotle )
Go to Kabob and Curry.; F ( Kabob and Curry )
Find Kabob and Curry.; F ( Kabob and Curry )
Find CVS.; F ( CVS )
Discover where is CVS.; F ( CVS )
Find Citizen's Bank.; F ( Citizen's Bank )
Go to Citizen's Bank.; F ( Citizen's Bank )
Find Barus Building .; F ( Barus Building )
Go to Barus Building.; F ( Barus Building )
Find FedEx Office.; F ( FedEx Office )
Go to FedEx Office.; F ( FedEx Office )
Go to Watson Center.; F ( Watson Center ) 
Find Watson Center.; F ( Watson Center ) 
Go to Nelson Fitness Center.; F ( Nelson Fitness Center )
Find Nelson Fitness Center.; F ( Nelson Fitness Center )
Find Marston Hall.; F ( Marston Hall )
Go to find Marston Hall.; F ( Marston Hall )
Find Bookstore and then find Science Library.; F ( Bookstore & F ( Science Library ) )
Find Bookstore and then find Starbucks.; F ( Bookstore & F ( Starbucks ) )
Find Bookstore and then find Chipotle.; F ( Bookstore & F ( Chipotle ) )
Find Bookstore and then find Kabob and Curry.; F ( Bookstore & F ( Kabob and Curry ) )
Find Bookstore and then find CVS.; F ( Bookstore & F ( CVS ) )
Find Bookstore and then find Citizen's Bank.; F ( Bookstore & F ( Citizen's Bank ) )
Find Bookstore and then find Barus Building.; F ( Bookstore & F ( Barus Building ) )
Find Bookstore and then find Watson Center.; F ( Bookstore & F ( Watson Center ) )
Find Bookstore and then find Marston Hall.; F ( Bookstore & F ( Marston Hall ) )
Find Bookstore and then find FedEx Office.; F ( Bookstore & F ( FedEx Office ) )
Find Bookstore and then find Nelson Fitness Center.; F ( Bookstore & F ( Nelson Fitness Center ) )
Find Science Library and then find Bookstore.; F ( Science Library & F ( Bookstore ) )
Find Science Library and then find Starbucks.; F ( Science Library & F ( Starbucks ) )
Find Science Library and then find Chipotle.; F ( Science Library & F ( Chipotle ) )
Find Science Library and then find Kabob and Curry.; F ( Science Library & F ( Kabob and Curry ) )
Find Science Library and then find CVS.; F ( Science Library & F ( CVS ) )
Find Science Library and then find Citizen's Bank.; F ( Science Library & F ( Citizen's Bank ) )
Find Science Library and then find Barus Building.; F ( Science Library & F ( Barus Building ) )
Find Science Library and then find Watson Center.; F ( Science Library & F ( Watson Center ) )
Find Science Library and then find Marston Hall.; F ( Science Library & F ( Marston Hall ) )
Find Science Library and then find FedEx Office.; F ( Science Library & F ( FedEx Office ) )
Find Science Library and then find Nelson Fitness Center.; F ( Science Library & F ( Nelson Fitness Center ) )
Find Starbucks and then find Bookstore.; F ( Starbucks & F ( Bookstore ) )
Find Starbucks and then find Science Library.; F ( Starbucks & F ( Science Library ) )
Find Starbucks and then find Chipotle.; F ( Starbucks & F ( Chipotle ) )
Find Starbucks and then find Kabob and Curry.; F ( Starbucks & F ( Kabob and Curry ) )
Find Starbucks and then find CVS.; F ( Starbucks & F ( CVS ) )
Find Starbucks and then find Citizen's Bank.; F ( Starbucks & F ( Citizen's Bank ) )
Find Starbucks and then find Barus Building.; F ( Starbucks & F ( Barus Building ) )
